id,uuid,quality_grade,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
312581592,479cb971-bb2f-4e93-a1e8-add89ab48644,research,false,,"Renton, WA, USA",47.5009305556,-122.2146,9,,,,9,,open,false,,,Renton City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312609764,7c66ef08-750a-462a-b31a-7803b3747ed7,research,false,843,"Roy St, Seattle, WA, US",47.62532,-122.349175,36,,,,36,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312609796,160e9256-55ce-485a-96f8-d8a16b6393fb,research,false,843,"Valley St, Seattle, WA, US",47.6263383333,-122.3502883333,14,,,,14,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312833297,648dc178-e6a9-4ffe-a76a-429578803c6e,research,false,,"North Beach/Blue Ridge, Seattle, WA, USA",47.697135956,-122.3800460024,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312947298,5cdb67b9-8c08-4ca8-b441-a92eac42d6cc,research,false,843,"E Lake Washington Blvd, Seattle, WA, US",47.6442616667,-122.3017583333,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
312978214,db9e48ae-ba36-439b-a032-09f81c8c0ad8,research,false,,"Crown Hill, Seattle, WA, USA",47.6962753108,-122.3732452058,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313351984,63c90b88-d49e-4ac2-b294-3ad32166eb4f,research,false,843,"NE 116th St, Kirkland, WA, US",47.7036583333,-122.1789783333,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313359320,0ed8071e-a171-41ed-a9ff-5c31b0cc9ec4,research,false,2,"Boulevard Park, Burien, WA 98168, USA",47.4956869973,-122.310362868,14,,,,14,,open,false,gps,gps,Burien City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313444015,c9d02c51-e367-4f58-bda5-f5aae6ea4320,research,false,2,"West Woodland, Seattle, WA 98107, USA",47.6656555556,-122.3711111111,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313586442,00314dd7-9262-4482-8e5c-b4d141bbf0a7,research,false,,"Crown Hill, Seattle, WA, USA",47.6990408299,-122.3766182738,8,,,,8,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313595921,21a0c850-864a-4e52-8683-e5f0ef01f76d,research,false,3,"Roosevelt Way NE, Seattle, WA, US",47.682475,-122.31697,14,,,,14,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313930086,4f353d0e-c7b5-4480-81cf-6b24bccd31ab,research,false,843,"Seattle, WA, US",47.5303833333,-122.39277,2,,,,2,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313990909,011c6f93-3943-4a12-9ca4-754b4d0611cd,research,false,843,"3rd Ave N, Seattle, WA, US",47.624925,-122.351525,12,,,,12,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
313990946,c0246a4c-23e1-4bf7-a2de-9d3ab0e86fc4,research,false,843,"Roy St, Seattle, WA, US",47.6255083333,-122.3523333333,24,,,,24,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314226117,a7d493d8-e15f-409b-9018-21535efb3c88,research,false,3,"46th Ave SW, Seattle, WA, US",47.5292883333,-122.3916166667,10,,,,10,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314241724,47e3e151-3006-4ba0-a1c7-8c0b07c4e915,research,false,843,"Central Ave S, Kent, WA, US",47.365955,-122.2322783333,2,,,,2,,open,false,,,Kent City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314282591,9a373f0b-3d7f-4891-b09a-cd4dd6491011,research,false,2,"Central Business District, Seattle, WA, USA",47.6058947208,-122.3418650776,20,,,,20,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314621294,b017aad4-2cce-4887-bd8b-e558b1625eed,research,false,843,"S 170th St, SeaTac, WA, US",47.4502966667,-122.2992166667,1200,,,,1200,,open,false,,,Seatac City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314690930,4034eaab-370a-4d5f-962e-405022bf5ea5,research,false,3,"Luther Burbank Park, Mercer Island, WA, US",47.5906033333,-122.22487,200,,,,200,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314691289,0894a73e-1fa5-4ace-bcbe-dc465fdf0074,research,false,3,"Luther Burbank Park, Mercer Island, WA, US",47.59077,-122.226075,22,,,,22,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314716128,fcf68f4e-1350-45f5-9b06-1ae2b4d761b3,research,false,2,"Seward Park, Seattle, WA 98118, USA",47.5489585997,-122.2551093997,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314729882,e18dafd3-e546-4864-9833-b0843d9b18f8,research,false,,"Interbay P-Patch Community Garden, 2451 15th Ave W, Seattle, WA 98119, USA",47.641201,-122.3770009,57,,,,57,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
314958898,d75c629b-a453-41be-812f-9dc08dd24492,research,false,,"Rainier Valley, Seattle, WA, USA",47.5596450997,-122.2887676997,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
315646884,63c14772-d035-4530-836d-fb3fad010fbc,needs_id,false,,"Southeast Redmond, Redmond, WA 98052, USA",47.65297,-122.1070566667,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
315688649,77c7fc3b-b920-4afc-af89-4d17ea4471e7,research,false,2,"University of Washington, Seattle, WA, USA",47.6558666667,-122.3089194444,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
315786185,2af27792-7f07-4f49-a55a-944d2a84f0a0,research,false,843,"SW Barton St, Seattle, WA, US",47.5233,-122.3951116667,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
315856704,5627868e-4490-41b7-bfce-ab551ef9eaa0,research,false,,"Southeast Redmond, Redmond, WA 98052, USA",47.6576576,-122.1158965,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
315885538,1c948e08-31b4-4fb2-9608-8994b4d66b32,research,false,3,"NE 43rd St, Seattle, WA, US",47.659845,-122.3132633333,30,,,,30,,open,false,,,,King,corneille d'Amérique,Corvus brachyrhynchos,American Crow,Aves,8021
315910174,040d028d-0280-4e1f-9552-1ee92cf9524a,research,false,3,"Rose Hill Meadows Park, Kirkland, WA, US",47.6771173272,-122.1748159014,29,,,,29,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316099856,4d82f82a-716b-4a40-bb57-e67814863236,research,false,3,"NE Boat St, Seattle, WA, US",47.6516216667,-122.3152083333,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316208126,d220bb90-a4e2-48ea-889b-9d6141af808f,research,false,,"Lake Hills, Bellevue, WA, USA",47.6060422222,-122.1394925,,,,,,,open,false,,,Bellevue City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316561690,c6b38a08-03c6-473d-8736-64f7469e59ab,research,false,843,"Montlake Blvd NE, Seattle, WA, US",47.6526024146,-122.3017357943,14,,,,14,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316562717,20b8bb10-accc-4689-b2fb-20de21efbf88,research,false,843,"Seattle, WA, US",47.6543622146,-122.2999061374,27,,,,27,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316598591,a5c6c516-585f-40ba-8767-1591ceaef3e4,research,false,843,"King County, US-WA, US",47.6056252237,-122.2940419488,7,,,,7,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316734183,bc555842-2812-4a51-95be-207f505ebdb2,research,false,3,"N 68th St, Seattle, WA, US",47.6787831832,-122.350764404,8,,,,8,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
316855100,e0b0b682-0244-4e88-80d7-e4efaa7a9bd2,research,false,333,Des Moines,47.4092674255,-122.2994537354,3,,,,3,,open,false,,,Des Moines City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317026892,610f3fbc-2b07-42e7-bfe5-fa7977d4be6d,research,false,,"University District, Seattle, WA 98105, USA",47.6588555556,-122.3142555556,44,,,,44,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317149849,0b08b5ca-eadb-403c-8598-65b2d09e5e5c,research,false,843,"Roosevelt Way NE, Seattle, WA, US",47.6643133146,-122.3175868495,9,,,,9,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317152950,f3d6b2d2-2ddd-4472-9b0d-4e7cfca1f3f0,research,false,,"Renton, WA, USA",47.4742258928,-122.2435657356,50,,,,50,,open,false,,,Renton City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317168658,34771039-2436-405c-b3ed-b827e89629f4,research,false,,"Renton, WA, USA",47.4831499207,-122.2039558208,20,,,,20,,open,false,,,Renton City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317185431,8d77400a-be98-4bae-9327-778cdf2ca489,research,false,843,"George Washington Ln, Seattle, WA, US",47.6561083333,-122.3108883333,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317410925,80f8d83d-7c70-40b7-8c0a-9093b03eaa4e,research,false,843,"Strander Blvd, Tukwila, WA, US",47.455045,-122.2554083333,2,,,,2,,open,false,,,Tukwila City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317457524,c28418cb-e2c9-492c-9a1b-f0ccb257ccef,research,false,3,"Queen Anne Ave N, Seattle, WA, US",47.6324116667,-122.3571083333,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317468166,734117e2-9642-4307-af9c-c1c8713577ed,research,false,,"Arboretum, Seattle, WA 98112, USA",47.6319833333,-122.2934,,,,,,,open,false,,"",,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317468179,00f53229-5753-47eb-b72c-6e9bed895ae7,research,false,,"Arboretum, Seattle, WA 98112, USA",47.6337583333,-122.2962805556,,,,,,,open,false,,"",,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317551962,fe2622a0-957f-4b77-b356-3990d6767686,research,false,843,"N Northlake Pl, Seattle, WA, US",47.6454972952,-122.3360743331,7,,,,7,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317591969,f13137b0-f7d2-4ac5-b64f-532c50d41b2e,research,false,333,Seattle,47.6462211609,-122.2919387817,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317592478,2b1bf441-6d12-4782-aa2c-2814a4747210,research,false,,"University of Washington, Seattle, WA, USA",47.6569863938,-122.3082059677,61,,,,61,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317830774,2a194eec-e8b0-4c36-8e56-4693e7683c18,research,false,843,"Brooklyn Ave NE, Seattle, WA, US",47.6524083333,-122.3141466667,21,,,,21,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
317852762,d36de4e2-4aef-4bcb-9188-14a4f5ad36ea,research,false,2,"Crown Hill, Seattle, WA, USA",47.6991957194,-122.3703427613,22,,,,22,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318097113,1cd5a0ef-71ce-4e72-906f-0840935a381c,research,false,843,"Ravenna Ave NE, Seattle, WA, US",47.6703693672,-122.3038898596,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318097215,2a68a2d1-3f5e-45b8-8d11-071e05330812,research,false,843,"Ravenna Ave NE, Seattle, WA, US",47.6700098802,-122.3037023303,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318130620,39b93bd3-3519-4be9-be9b-edba7347a497,research,false,,"King, Washington, United States",47.65611667,-122.31128056,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318137161,14b7c0d9-f0c0-49cd-a1d0-46509f11a36b,research,false,843,"E Stevens Way NE, Seattle, WA, US",47.655595,-122.3061,16,,,,16,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318231558,a60d17d3-e15b-498e-a6c2-107c54297fe3,research,false,3,"University of Washington, Seattle, WA, US",47.6569836146,-122.310802922,25,,,,25,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318241534,ea75521f-0108-420d-bcbf-154595de99f4,research,false,843,"NE Grant Ln, Seattle, WA, US",47.6548783333,-122.310005,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318247571,1e72bc66-07db-4fac-9f16-d67a145ae0e4,research,false,843,"University Way NE, Seattle, WA, US",47.6641166667,-122.3131333333,14,,,,14,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318262287,7ad2f7f9-f210-4335-bf2c-9a4808d9633a,research,false,843,"NE Boat St, Seattle, WA, US",47.6517216667,-122.31453,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318271631,58537920-bc59-4072-866c-b816847438e3,research,false,2,"Seattle, WA 98195, USA",47.6510694444,-122.3061527778,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318286538,b49847fd-113c-43da-ab18-6953898d5f11,research,false,843,"NE 47th St, Seattle, WA, US",47.662892897,-122.3053125123,174,,,,174,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318306994,4738f9c9-977a-4233-aed7-f84f86225073,research,false,843,"Burke-Gilman Trail, Seattle, WA, US",47.6506534223,-122.3063447347,3301,,,,3301,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318326952,d3cae422-7a64-43a4-a8e3-74864cae71ee,research,false,,"King, Washington, United States",47.65821389,-122.31324722,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318333290,af72d868-4c04-4cf4-80a8-742daec3da23,research,false,,"King, Washington, United States",47.63046667,-122.14415,,,,,,,open,false,,,Bellevue City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318344570,92c93780-13cc-45c5-b212-c4437a52c932,research,false,843,"15th Ave NE, Seattle, WA, US",47.65155,-122.313125,5,,,,5,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318350418,5b0af6eb-c539-479b-b7ae-2497fd6b4781,research,false,843,"15th Ave NE, Seattle, WA, US",47.6532583333,-122.312325,7,,,,7,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318350577,41884705-5353-4b59-af58-c463dd61f002,research,false,843,"15th Ave NE, Seattle, WA, US",47.658225,-122.311675,21,,,,21,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318436925,a3babe64-0e59-486b-96ff-ab04ffb86031,needs_id,false,333,Seattle,47.6229248047,-122.2873840332,35,,,,35,,open,false,,,,King,Birds,Corvus brachyrhynchos,American Crow,Aves,8021
318506570,76d81cde-84ce-4c16-804b-5a3703290c83,research,false,333,"King County, US-WA, US",47.6229705811,-122.2882156372,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318510537,6ca22697-1dc2-470c-b913-37d3c3204f22,research,false,3,"Warren G. Magnuson Park, Seattle, WA, US",47.6792550031,-122.2479333333,20,,,,20,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318515740,e986da7b-41bc-4e55-a50a-c00c0df007cb,research,false,2,"King County, US-WA, US",47.6820544997,-122.3302905997,,,,,,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318517912,ef1b8b48-36d2-4881-9c0e-95c78a8b9c0e,research,false,333,"King County, US-WA, US",47.5270614624,-122.3821334839,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318517913,a3fa003f-3d27-48a6-8d0a-c7e497c59767,research,false,333,"King County, US-WA, US",47.5267715454,-122.3822097778,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318665765,b77a3860-99a4-49ef-8950-8ab4376b1ca4,research,false,3,"Marymoor Park, Redmond, WA, US",47.66038,-122.1115195,2,,,,2,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318770353,55433044-7ce5-496a-9143-a43b32c71e52,research,false,333,Des Moines,47.3866882324,-122.3103790283,4,,,,4,,open,false,,,Des Moines City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318973431,1d89298a-4ccc-4066-b897-ea03d4408024,research,false,,"Ballard, Seattle, WA, USA",47.6897963379,-122.4037476178,200,,,,200,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318977439,4dc5f063-4d5c-4fe5-afbe-9194edbf55c5,research,false,333,Seattle,47.5489044189,-122.2558670044,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
318977582,bb482b45-339c-4350-8fd2-c1e71dd17783,research,false,333,Seattle,47.5489006042,-122.2557373047,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319185900,d42ffe3d-bdef-4778-81c4-69b4ddf17a82,research,false,843,"15th Ave NE, Seattle, WA, US",47.6582466667,-122.3116833333,24,,,,24,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319189992,22c026ea-cae0-4229-807a-a3b3d9d7ceac,research,false,333,Seattle,47.6391944885,-122.2831420898,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319200462,4d6af7d9-30c3-49f1-98f7-dde922a8f458,needs_id,false,3,"Union Bay Natural Area, Seattle, WA, US",47.6553583333,-122.295295,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319204525,42459ac2-abb7-45fa-8850-35f5634bcabb,research,false,3,"NE 10th St, Bellevue, WA, US",47.6193116667,-122.1924583333,12,,,,12,,open,false,,,Bellevue City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319249031,59272d25-f261-4a95-bfaf-40f513816255,research,false,2,"Seattle Waterfront, Seattle, WA, USA",47.6036719041,-122.3388221115,3,,,,3,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319249596,baf4925e-133a-41d8-8e07-319e6ac6d971,research,false,333,Seattle,47.5449028015,-122.2608566284,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319404337,576a1681-6054-41d9-9bae-d7d1ae4257d0,research,false,333,Seattle,47.6232376099,-122.2883605957,17,,,,17,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319412020,0b581465-a01d-4652-b50b-52f6ca165806,research,false,333,"King County, US-WA, US",47.622833252,-122.2854766846,16,,,,16,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319473741,3185764c-8bcd-4516-8a07-aa5c56a41a5a,research,false,333,Seattle,47.5458755493,-122.2591934204,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319473905,ce012bed-80c6-4086-866a-67f209287c37,research,false,333,Seattle,47.5460395813,-122.2591094971,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319505352,49c87453-15b1-46ff-b0e4-ab518e611c08,research,false,,"Bothell, WA, USA",47.7580013583,-122.2222157789,8,,,,8,,open,false,,,Bothell City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319580521,034436f9-ca47-49ba-adc3-27aa1b5088df,research,false,2,"Crown Hill, Seattle, WA, USA",47.6969008236,-122.3761758953,44,,,,44,,open,false,gps,gps,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319597778,77fa36f2-5070-4a0d-a241-3dec0f5170ba,research,false,,"University of Washington, Seattle, WA, USA",47.6573222222,-122.3078,5,,,,5,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319840648,716b8012-34e1-4fea-b0b3-4b55403f6230,research,false,843,"Memorial Way, Seattle, WA, US",47.6579106539,-122.309409055,43,,,,43,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319848853,21c4c0cd-c253-46f0-a0a7-9ed928af4155,research,false,3,"Green Lake Park, Seattle, WA, US",47.6844307983,-122.3354067817,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319863499,1ebf900d-c062-4248-815c-00c73036d00a,research,false,333,Seattle,47.6229019165,-122.2881393433,4,,,,4,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319902517,8603d97c-9cb3-4cff-96d3-37e681bc5169,research,false,843,"15th Ave NE, Seattle, WA, US",47.6583716667,-122.3118116667,20,,,,20,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319902867,031a7eef-2d6b-461a-bd4b-0eae29f9e97f,research,false,843,"Harvard Ave, Seattle, WA, US",47.61373,-122.3221366667,21,,,,21,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319908118,d109481e-9bb5-4f02-9665-c3e06a0d3c2c,research,false,,"University of Washington, Seattle, WA, USA",47.6578622451,-122.3095360483,8,,,,8,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
319991420,cc762bb2-8db7-41c6-af54-3a6464012478,research,false,843,"Harrison St, Seattle, WA, US",47.621905,-122.3320783333,19,,,,19,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320080431,808c822c-65a9-4a07-9c0d-17f024dd7bfa,research,false,,"Kirkland, WA, USA",47.6990270978,-122.212880317,456,,,,456,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320090228,4d37509c-f043-4c63-b748-ef2eeca34b05,research,false,,"Lawton Park, Seattle, WA 98199, USA",47.66438165,-122.42671665,,,,,,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320458949,0886e34d-2f23-4048-8247-cde916d170bb,research,false,843,"E Green Lake Dr N, Seattle, WA, US",47.6858327003,-122.3373818762,3,,,,3,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320481096,f59b93a6-a02b-4dba-896a-219eb21c9231,research,false,843,"W Comstock St, Seattle, WA, US",47.6301116667,-122.3631966667,36,,,,36,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320685147,371ad07e-45e3-496a-843e-b79ead6dd73f,research,false,3,"University of Washington, Seattle, WA, US",47.6533995755,-122.30686971,6,,,,6,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320696243,3f6fd497-8fe4-4530-8de1-7a7e9a87c89f,research,false,,"SeaTac, WA, USA",47.4277039614,-122.2932125718,20,,,,20,,open,false,,,Seatac City Limits,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320788031,6104b81f-34ff-4e73-9c50-2bfc09ef1ee9,research,false,,"University of Washington, Seattle, WA, USA",47.654023321,-122.2946647823,8,,,,8,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
320828604,bb450603-c039-4750-99b4-355526fa9833,research,false,843,"Alki Ave SW, Seattle, WA, US",47.579925,-122.4086616667,5,,,,5,,open,false,,,,King,American Crow,Corvus brachyrhynchos,American Crow,Aves,8021
